source_excel,report_id,analyzer_model,analyzer_id,intervention_type,symptoms_reported,root_cause,actions_taken,spare_part_use,spare_part_sn,status_after_intervention,follow_up_date,fse_name,notes,intervention_start,intervention_end,duration,resolution_time_min
fse_reports.xlsx,FSE-01139,AU5800 , CH-13478-006 ,On-site Visit,Industry myself TV anyone cultural happy popular sound home everyone.,Root cause of temperature fault in CH-13478-006,Replaced heating element and recalibrated,heating element,36U9CYRV,Operational,No,Eta Caracas ,Phone customer cup number later international blood shake drive responsibility hold general soldier.,7/5/2025 23:18,7/5/2025 0:57,0.01:39:00,99
fse_reports.xlsx,FSE-01140,AU5800 , CH-13478-006 ,Preventive Maintenance,Range reason write bar hot begin film may.,Root cause of read error in CH-13478-006,Replaced barcode PCB and recalibrated,barcode PCB,FHEYZQQX,Operational,No,Kappa Guayaquil ,Already peace issue might actually say entire again effect short behavior between good.,6/2/2025 22:38,6/2/2025 1:24,0.02:46:00,166
fse_reports.xlsx,FSE-01141,ACL TOP 750 , CH-88907-005 ,On-site Visit,Great civil level pay possible.,Root cause of leak detected in CH-88907-005,Replaced valve and recalibrated,valve,EOEGEZQ0,Not Resolved,2025-09-04,Delta Buenos Aires ,His time benefit standard detail Democrat interesting its bank.,7/2/2025 14:55,7/2/2025 16:02,0.01:07:00,67
fse_reports.xlsx,FSE-01142,AU5800 , CH-87236-014 ,Preventive Maintenance,Already grow standard cover get stand.,Root cause of door jammed in CH-87236-014,Replaced thermostat and recalibrated,thermostat,KGNHAGXX,Partially Operational,No,Gamma Santiago ,Difference figure collection build rather east check under all direction goal car.,7/8/2025 7:08,7/8/2025 9:10,0.02:02:00,122
fse_reports.xlsx,FSE-01143,AU5800 , CH-13478-006 ,On-site Visit,Individual common before sign sport there together name region may.,Root cause of low wash buffer in CH-13478-006,Replaced None and recalibrated,None,N/A,Operational,2025-09-01,Alpha Lima ,Less loss bad media exist word argue onto.,7/28/2025 14:50,7/28/2025 16:56,0.02:06:00,126
fse_reports.xlsx,FSE-01144,AU5800 , CH-87236-014 ,Remote Support,Light rather individual fire wrong prevent sing light charge space.,Root cause of pump failure in CH-87236-014,Replaced pump and recalibrated,pump,S74ULEVN,Operational,No,Zeta Montevideo ,Big gun decade husband college office production fast.,5/29/2025 19:01,5/29/2025 23:41,0.04:40:00,280
fse_reports.xlsx,FSE-01145,AU5800 , CH-68878-013 ,On-site Visit,Today step create read rock tough not.,Root cause of leak detected in CH-68878-013,Replaced valve and recalibrated,valve,230A7ZUM,Not Resolved,2025-08-24,Alpha Lima ,Home black test late man grow.,5/19/2025 10:56,5/19/2025 15:49,0.04:53:00,293
fse_reports.xlsx,FSE-01146,Cobas 8000 , CH-88907-005 ,On-site Visit,Down against wall memory sense.,Root cause of low wash buffer in CH-88907-005,Replaced brush and recalibrated,brush,EJPMLNL7,Operational,No,Epsilon Asunción ,Support green ever without about but hit situation can.,7/5/2025 7:06,7/5/2025 9:35,0.02:29:00,149
fse_reports.xlsx,FSE-01147,AU5800 , CH-36062-008 ,Preventive Maintenance,Important dream fill language me crime feeling tonight too month follow.,Root cause of aspirate fault in CH-36062-008,Replaced plunger and recalibrated,plunger,FRBEWRUK,Operational,No,Theta Quito ,Support hand leg human method movement.,6/30/2025 14:43,6/30/2025 16:44,0.02:01:00,121
fse_reports.xlsx,FSE-01148,ACL TOP 750 , CH-95181-009 ,Remote Support,Owner mouth also discussion probably debate development them education.,Root cause of low wash buffer in CH-95181-009,Replaced brush and recalibrated,brush,PVOE4T8D,Partially Operational,2025-09-04,Gamma Santiago ,Point condition art including meeting institution professional cell democratic he would.,5/20/2025 17:23,5/20/2025 18:50,0.01:27:00,87
fse_reports.xlsx,FSE-01149,Cobas 8000 , CH-40495-003 ,Remote Support,Than hundred firm pick room current level.,Root cause of temperature fault in CH-40495-003,Replaced heating element and recalibrated,heating element,Z5BCAN68,Not Resolved,2025-08-28,Zeta Montevideo ,Send arm billion by where turn night own although same.,6/15/2025 5:36,6/15/2025 6:50,0.01:14:00,74
fse_reports.xlsx,FSE-01150,AU5800 , CH-36062-008 ,On-site Visit,Green course those they fine yet type set offer.,Root cause of reagent low in CH-36062-008,Replaced reagent valve and recalibrated,reagent valve,CPY9NPGI,Partially Operational,No,Gamma Santiago ,South someone culture always trade product write.,7/26/2025 16:05,7/26/2025 19:44,0.03:39:00,219
fse_reports.xlsx,FSE-01151,AU5800 , CH-22280-001 ,Remote Support,Include notice maintain similar attorney.,Root cause of scanner failure in CH-22280-001,Replaced scanner lens and recalibrated,scanner lens,ABCE2EH3,Not Resolved,2025-09-06,Iota La Paz ,Year above give skin reach force window theory decade this low.,7/3/2025 7:30,7/3/2025 11:57,0.04:27:00,267
fse_reports.xlsx,FSE-01152,AU5800 , CH-95181-009 ,Remote Support,Within ahead apply break late likely guess edge page.,Root cause of door jammed in CH-95181-009,Replaced thermostat and recalibrated,thermostat,O1DFSTS3,Not Resolved,2025-08-29,Theta Quito ,Ready remember everybody picture young blue face son new feel less site design.,5/27/2025 0:16,5/27/2025 1:44,0.01:28:00,88
fse_reports.xlsx,FSE-01153,AU5800 , CH-40495-003 ,On-site Visit,According need question performance her pass his behavior me take best.,Root cause of temperature fault in CH-40495-003,Replaced thermostat and recalibrated,thermostat,BZ9ZQHBQ,Operational,No,Theta Quito ,Partner best natural peace each maintain receive cover around author moment admit.,6/8/2025 13:13,6/8/2025 15:50,0.02:37:00,157
fse_reports.xlsx,FSE-01154,ACL TOP 750 , CH-46463-015 ,Preventive Maintenance,Key detail alone expert off down see station.,Root cause of clot detected in CH-46463-015,Replaced plunger and recalibrated,plunger,CB5NTJK2,Operational,No,Delta Buenos Aires ,My yet similar he share accept employee third today.,8/1/2025 6:10,8/1/2025 8:31,0.02:21:00,141
fse_reports.xlsx,FSE-01155,AU5800 , CH-95181-009 ,Remote Support,Important home cup price cultural manage.,Root cause of light intensity drop in CH-95181-009,Replaced light source and recalibrated,light source,PM4YQZVR,Operational,No,Iota La Paz ,Food current religious worry street assume born natural set two foot address thing.,6/13/2025 0:54,6/13/2025 2:30,0.01:36:00,96
fse_reports.xlsx,FSE-01156,Cobas 8000 , CH-38657-002 ,Preventive Maintenance,Thing guy add safe and available.,Root cause of temperature fault in CH-38657-002,Replaced None and recalibrated,None,N/A,Not Resolved,No,Kappa Guayaquil ,Account authority firm face truth eat range condition find gun during affect thing.,7/12/2025 4:32,7/12/2025 7:44,0.03:12:00,192
fse_reports.xlsx,FSE-01157,AU5800 , CH-76237-004 ,Remote Support,Opportunity away teach staff turn.,Root cause of rotation fault in CH-76237-004,Replaced None and recalibrated,None,N/A,Partially Operational,2025-08-23,Eta Caracas ,Person professional however bring big lawyer around available while staff future remain throw.,7/29/2025 12:47,7/29/2025 15:39,0.02:52:00,172
fse_reports.xlsx,FSE-01158,Cobas 8000 , CH-81426-010 ,On-site Visit,Billion note notice exactly interview sense a.,Root cause of valve error in CH-81426-010,Replaced reagent valve and recalibrated,reagent valve,FMCIE4AC,Partially Operational,2025-08-26,Eta Caracas ,National family and painting speak most often.,7/14/2025 15:09,7/14/2025 20:01,0.04:52:00,292
fse_reports.xlsx,FSE-01159,AU5800 , CH-36062-008 ,On-site Visit,Green course those they fine yet type set offer.,Root cause of reagent low in CH-36062-008,Replaced reagent valve and recalibrated,reagent valve,8WACEQRQ,Partially Operational,No,Alpha Lima ,Couple area alone find thus activity dream.,7/26/2025 16:05,7/26/2025 17:24,0.01:19:00,79
fse_reports.xlsx,FSE-01160,ACL TOP 750 , CH-87236-014 ,On-site Visit,Staff table approach animal ask environment.,Root cause of reagent low in CH-87236-014,Replaced reagent valve and recalibrated,reagent valve,I1T3UZZZ,Not Resolved,No,Zeta Montevideo ,Easy save on test soldier compare.,7/13/2025 6:17,7/13/2025 9:54,0.03:37:00,217
fse_reports.xlsx,FSE-01161,AU5800 , CH-13478-006 ,On-site Visit,Two lawyer without article nor fine stock first unit interesting front.,Root cause of clot detected in CH-13478-006,Replaced None and recalibrated,None,N/A,Operational,No,Epsilon Asunción ,Doctor short eye record gun nice occur grow history full run skill consider.,7/23/2025 0:40,7/23/2025 2:00,0.01:20:00,80
fse_reports.xlsx,FSE-01162,AU5800 , CH-13478-006 ,Remote Support,Good particular stage thought away two believe official issue.,Root cause of scanner failure in CH-13478-006,Replaced None and recalibrated,None,N/A,Not Resolved,2025-08-28,Kappa Guayaquil ,Produce ready spend they image pretty growth ask ten.,6/15/2025 21:29,6/15/2025 23:20,0.01:51:00,111
fse_reports.xlsx,FSE-01163,AU5800 , CH-36062-008 ,On-site Visit,Audience only determine listen window trial image approach seek give building.,Root cause of clot detected in CH-36062-008,Replaced None and recalibrated,None,N/A,Not Resolved,2025-08-10,Delta Buenos Aires ,Notice toward herself positive family police training ask student position move environmental.,5/25/2025 17:02,5/25/2025 21:52,0.04:50:00,290
fse_reports.xlsx,FSE-01164,ACL TOP 750 , CH-76237-004 ,Remote Support,Sometimes out will compare into light authority Mrs too base line.,Root cause of clot detected in CH-76237-004,Replaced None and recalibrated,None,N/A,Partially Operational,2025-08-16,Beta Bogotá ,Represent near effect present person hold play stock responsibility certainly past.,6/23/2025 4:30,6/23/2025 5:42,0.01:12:00,72
fse_reports.xlsx,FSE-01165,ACL TOP 750 , CH-46463-015 ,Preventive Maintenance,Picture meet ahead recognize work.,Root cause of leak detected in CH-46463-015,Replaced encoder motor and recalibrated,encoder motor,UKONDHKB,Partially Operational,2025-09-06,Delta Buenos Aires ,Score lot every yourself focus where lead wind improve attack society.,6/16/2025 8:33,6/16/2025 13:11,0.04:38:00,278
fse_reports.xlsx,FSE-01166,AU5800 , CH-95181-009 ,Remote Support,Within ahead apply break late likely guess edge page.,Root cause of door jammed in CH-95181-009,Replaced thermostat and recalibrated,thermostat,LG08YVU6,Not Resolved,2025-08-28,Alpha Lima ,Pretty these film parent offer upon simply possible writer.,5/27/2025 0:16,5/27/2025 3:04,0.02:48:00,168
fse_reports.xlsx,FSE-01167,AU5800 , CH-81426-010 ,Preventive Maintenance,Single month pull ten finish human PM prove day wall.,Root cause of light intensity drop in CH-81426-010,Replaced None and recalibrated,None,N/A,Partially Operational,No,Alpha Lima ,Garden house plant economy myself people myself set national.,6/27/2025 19:42,6/27/2025 22:52,0.03:10:00,190
fse_reports.xlsx,FSE-01168,Cobas 8000 , CH-95181-009 ,Preventive Maintenance,Lose tough attention itself key.,Root cause of sensor misalignment in CH-95181-009,Replaced None and recalibrated,None,N/A,Not Resolved,2025-09-01,Iota La Paz ,Mr sea view often number industry pressure sound person near.,7/4/2025 7:01,7/4/2025 11:04,0.04:03:00,243
fse_reports.xlsx,FSE-01169,AU5800 , CH-36062-008 ,Remote Support,Down support the could little remain student.,Root cause of pump failure in CH-36062-008,Replaced encoder motor and recalibrated,encoder motor,O4XXWXJ4,Not Resolved,No,Delta Buenos Aires ,Probably trial drop manage policy wide sea political tonight city determine partner far.,5/30/2025 7:56,5/30/2025 9:01,0.01:05:00,65
fse_reports.xlsx,FSE-01170,AU5800 , CH-76237-004 ,On-site Visit,Past practice financial TV middle follow shoulder prepare.,Root cause of light intensity drop in CH-76237-004,Replaced optic fiber and recalibrated,optic fiber,FE980TW8,Not Resolved,No,Beta Bogotá ,Present just see likely new standard that fast help agreement develop expect require.,5/20/2025 0:31,5/20/2025 5:28,0.04:57:00,297
fse_reports.xlsx,FSE-01171,ACL TOP 750 , CH-40495-003 ,Remote Support,Moment ground serious responsibility often act nature event place magazine.,Root cause of clot detected in CH-40495-003,Replaced pipette tip and recalibrated,pipette tip,JTFE85S0,Operational,2025-08-17,Iota La Paz ,Instead growth lose like word indeed.,6/14/2025 10:29,6/14/2025 15:26,0.04:57:00,297
fse_reports.xlsx,FSE-01172,AU5800 , CH-76237-004 ,On-site Visit,Past practice financial TV middle follow shoulder prepare.,Root cause of light intensity drop in CH-76237-004,Replaced optic fiber and recalibrated,optic fiber,AG3JBRRD,Operational,No,Eta Caracas ,Operation management reflect current these minute third dark especially draw.,5/20/2025 0:31,5/20/2025 5:30,0.04:59:00,299
fse_reports.xlsx,FSE-01173,AU5800 , CH-76237-004 ,Remote Support,Want not avoid also term design bill.,Root cause of leak detected in CH-76237-004,Replaced pump and recalibrated,pump,VDXDF6YV,Operational,2025-08-10,Iota La Paz ,Customer respond the entire pressure scene music evening by.,7/1/2025 2:43,7/1/2025 4:02,0.01:19:00,79
fse_reports.xlsx,FSE-01174,ACL TOP 750 , CH-38657-002 ,Preventive Maintenance,Method every onto strategy focus fire.,Root cause of light intensity drop in CH-38657-002,Replaced light source and recalibrated,light source,0O7Y4XBB,Partially Operational,No,Beta Bogotá ,About paper land body arrive owner beat real.,6/15/2025 7:16,6/15/2025 9:45,0.02:29:00,149
fse_reports.xlsx,FSE-01175,ACL TOP 750 , CH-81426-010 ,On-site Visit,Mean put onto street one form wall.,Root cause of read error in CH-81426-010,Replaced barcode PCB and recalibrated,barcode PCB,UEPRTIRY,Not Resolved,No,Zeta Montevideo ,Line read big this not piece writer.,5/24/2025 14:15,5/24/2025 16:05,0.01:50:00,110
fse_reports.xlsx,FSE-01176,ACL TOP 750 , CH-95181-009 ,Remote Support,Owner mouth also discussion probably debate development them education.,Root cause of low wash buffer in CH-95181-009,Replaced brush and recalibrated,brush,D7U4XXGX,Not Resolved,2025-08-13,Epsilon Asunción ,Measure heart drive appear fight share fill.,5/20/2025 17:23,5/20/2025 21:45,0.04:22:00,262
fse_reports.xlsx,FSE-01177,AU5800 , CH-13478-006 ,Remote Support,Good particular stage thought away two believe official issue.,Root cause of scanner failure in CH-13478-006,Replaced None and recalibrated,None,N/A,Not Resolved,No,Epsilon Asunción ,Least field think none interview management return politics fish early drive build.,6/15/2025 21:29,6/15/2025 1:53,0.04:24:00,264
fse_reports.xlsx,FSE-01178,AU5800 , CH-13478-006 ,Remote Support,Good particular stage thought away two believe official issue.,Root cause of scanner failure in CH-13478-006,Replaced None and recalibrated,None,N/A,Partially Operational,2025-08-12,Iota La Paz ,Easy allow sell look kitchen onto system position.,6/15/2025 21:29,6/15/2025 1:30,0.04:01:00,241
fse_reports.xlsx,FSE-01179,AU5800 , CH-38893-012 ,Remote Support,Finish some Congress plan owner they drive.,Root cause of sensor misalignment in CH-38893-012,Replaced optic fiber and recalibrated,optic fiber,PFMNF7UI,Not Resolved,2025-08-15,Epsilon Asunción ,Usually will visit yet anything cold ready others business admit list.,5/14/2025 6:48,5/14/2025 8:52,0.02:04:00,124
fse_reports.xlsx,FSE-01180,ACL TOP 750 , CH-40495-003 ,Remote Support,Moment ground serious responsibility often act nature event place magazine.,Root cause of clot detected in CH-40495-003,Replaced pipette tip and recalibrated,pipette tip,SU2HTTSW,Partially Operational,No,Epsilon Asunción ,Accept however these total land worry.,6/14/2025 10:29,6/14/2025 12:29,0.02:00:00,120
fse_reports.xlsx,FSE-01181,Cobas 8000 , CH-81426-010 ,On-site Visit,Billion note notice exactly interview sense a.,Root cause of valve error in CH-81426-010,Replaced reagent valve and recalibrated,reagent valve,91QUPWCK,Operational,No,Kappa Guayaquil ,Hundred next environmental middle financial size kind where drive program.,7/14/2025 15:09,7/14/2025 19:18,0.04:09:00,249
fse_reports.xlsx,FSE-01182,ACL TOP 750 , CH-95181-009 ,Remote Support,Owner mouth also discussion probably debate development them education.,Root cause of low wash buffer in CH-95181-009,Replaced brush and recalibrated,brush,X9XF3HOI,Partially Operational,2025-09-06,Alpha Lima ,Dark add water office size society charge each everyone media it us.,5/20/2025 17:23,5/20/2025 19:45,0.02:22:00,142
fse_reports.xlsx,FSE-01183,AU5800 , CH-13478-006 ,Preventive Maintenance,Member foreign natural catch year put relationship force.,Root cause of sensor misalignment in CH-13478-006,Replaced optic fiber and recalibrated,optic fiber,BJUDL3AF,Partially Operational,2025-08-29,Theta Quito ,Behind work oil accept wish mean war power us ask.,7/8/2025 13:08,7/8/2025 15:23,0.02:15:00,135
fse_reports.xlsx,FSE-01184,AU5800 , CH-81426-010 ,Preventive Maintenance,Past meeting itself ok good city him leader site.,Root cause of reagent low in CH-81426-010,Replaced reagent valve and recalibrated,reagent valve,WPX5ZJ2O,Operational,2025-08-29,Theta Quito ,Pressure whose street us though team ready social future power.,7/7/2025 6:01,7/7/2025 9:08,0.03:07:00,187
fse_reports.xlsx,FSE-01185,AU5800 , CH-81426-010 ,Preventive Maintenance,Single month pull ten finish human PM prove day wall.,Root cause of light intensity drop in CH-81426-010,Replaced None and recalibrated,None,N/A,Partially Operational,No,Iota La Paz ,Animal concern old approach try hotel into course poor reason recognize.,6/27/2025 19:42,6/27/2025 22:26,0.02:44:00,164
fse_reports.xlsx,FSE-01186,ACL TOP 750 , CH-40495-003 ,Remote Support,Moment ground serious responsibility often act nature event place magazine.,Root cause of clot detected in CH-40495-003,Replaced pipette tip and recalibrated,pipette tip,O3FJPO4D,Operational,2025-09-06,Kappa Guayaquil ,Concern crime top executive either bank mouth even price region prepare size already.,6/14/2025 10:29,6/14/2025 12:24,0.01:55:00,115
fse_reports.xlsx,FSE-01187,Cobas 8000 , CH-68878-013 ,Preventive Maintenance,Democratic nation phone task ok prepare spend station coach bar.,Root cause of temperature fault in CH-68878-013,Replaced heating element and recalibrated,heating element,NJPXW6ZU,Not Resolved,2025-08-26,Epsilon Asunción ,Good everyone employee break article dark.,7/19/2025 8:08,7/19/2025 12:48,0.04:40:00,280
fse_reports.xlsx,FSE-01188,ACL TOP 750 , CH-38657-002 ,Preventive Maintenance,Method every onto strategy focus fire.,Root cause of light intensity drop in CH-38657-002,Replaced light source and recalibrated,light source,L6DMJLXD,Not Resolved,No,Kappa Guayaquil ,Would six institution group yes box nearly south.,6/15/2025 7:16,6/15/2025 11:52,0.04:36:00,276
fse_reports.xlsx,FSE-01189,ACL TOP 750 , CH-88907-005 ,On-site Visit,Great civil level pay possible.,Root cause of leak detected in CH-88907-005,Replaced valve and recalibrated,valve,429I76BE,Partially Operational,No,Eta Caracas ,Themselves there common growth establish example type call.,7/2/2025 14:55,7/2/2025 16:58,0.02:03:00,123
fse_reports.xlsx,FSE-01190,Cobas 8000 , CH-40495-003 ,Remote Support,Than hundred firm pick room current level.,Root cause of temperature fault in CH-40495-003,Replaced heating element and recalibrated,heating element,3T13HLOZ,Operational,No,Iota La Paz ,Section simply difference return thus fund.,6/15/2025 5:36,6/15/2025 6:50,0.01:14:00,74
fse_reports.xlsx,FSE-01191,AU5800 , CH-13478-006 ,Remote Support,Authority cup establish down message.,Root cause of sensor misalignment in CH-13478-006,Replaced optic fiber and recalibrated,optic fiber,NCRBVXKE,Not Resolved,2025-08-26,Gamma Santiago ,Pattern whether to young assume finish hand seek begin less meet goal such.,7/17/2025 15:06,7/17/2025 18:26,0.03:20:00,200
fse_reports.xlsx,FSE-01192,AU5800 , CH-13478-006 ,Preventive Maintenance,Range reason write bar hot begin film may.,Root cause of read error in CH-13478-006,Replaced barcode PCB and recalibrated,barcode PCB,NN520UPR,Operational,2025-08-28,Eta Caracas ,About work something actually money mission feel decision cultural important.,6/2/2025 22:38,6/2/2025 2:36,0.03:58:00,238
fse_reports.xlsx,FSE-01193,ACL TOP 750 , CH-81426-010 ,On-site Visit,Mean put onto street one form wall.,Root cause of read error in CH-81426-010,Replaced barcode PCB and recalibrated,barcode PCB,37L5RPTB,Partially Operational,2025-08-14,Zeta Montevideo ,Arm perform it small summer direction in mission city last color manager.,5/24/2025 14:15,5/24/2025 16:15,0.02:00:00,120
fse_reports.xlsx,FSE-01194,AU5800 , CH-38657-002 ,Preventive Maintenance,Example tree ready through financial watch prepare myself take.,Root cause of temperature fault in CH-38657-002,Replaced heating element and recalibrated,heating element,SVPI2JON,Operational,No,Eta Caracas ,Everyone another sport up conference worker begin expert election body produce turn.,5/25/2025 15:29,5/25/2025 18:19,0.02:50:00,170
fse_reports.xlsx,FSE-01195,AU5800 , CH-13478-006 ,Preventive Maintenance,Member foreign natural catch year put relationship force.,Root cause of sensor misalignment in CH-13478-006,Replaced optic fiber and recalibrated,optic fiber,DWVM7A7P,Operational,No,Gamma Santiago ,Public medical sell fire tree final evidence hot.,7/8/2025 13:08,7/8/2025 16:11,0.03:03:00,183
fse_reports.xlsx,FSE-01196,Cobas 8000 , CH-88907-005 ,Remote Support,Water early approach employee church drive decision suffer lawyer early.,Root cause of low wash buffer in CH-88907-005,Replaced None and recalibrated,None,N/A,Partially Operational,2025-08-21,Theta Quito ,Smile lawyer main remember instead significant.,6/24/2025 10:23,6/24/2025 13:34,0.03:11:00,191
fse_reports.xlsx,FSE-01197,AU5800 , CH-40495-003 ,Preventive Maintenance,Draw theory mention bar interest.,Root cause of read error in CH-40495-003,Replaced barcode PCB and recalibrated,barcode PCB,O1WODGZD,Partially Operational,2025-08-26,Iota La Paz ,Actually shake gas our same career study these born act ago happy either.,5/26/2025 17:13,5/26/2025 21:32,0.04:19:00,259
fse_reports.xlsx,FSE-01198,Cobas 8000 , CH-88907-005 ,On-site Visit,Difficult understand your enter information.,Root cause of sensor misalignment in CH-88907-005,Replaced light source and recalibrated,light source,A6TDV9RR,Not Resolved,No,Delta Buenos Aires ,Could against hotel miss official piece green defense employee affect thank coach.,7/30/2025 12:44,7/30/2025 16:47,0.04:03:00,243
fse_reports.xlsx,FSE-01199,ACL TOP 750 , CH-81426-010 ,Preventive Maintenance,Major happy mission believe serious example standard ago upon.,Root cause of sensor misalignment in CH-81426-010,Replaced None and recalibrated,None,N/A,Not Resolved,2025-08-16,Theta Quito ,Country ball from why subject stock possible send.,6/25/2025 18:45,6/25/2025 21:21,0.02:36:00,156
fse_reports.xlsx,FSE-01200,ACL TOP 750 , CH-36062-008 ,Remote Support,Newspaper she unit experience begin on.,Root cause of low wash buffer in CH-36062-008,Replaced None and recalibrated,None,N/A,Operational,2025-08-09,Epsilon Asunción ,Behavior size a today operation price knowledge customer section condition sea.,5/14/2025 21:39,5/14/2025 1:07,0.03:28:00,208
fse_reports.xlsx,FSE-01201,AU5800 , CH-36062-008 ,Remote Support,Down support the could little remain student.,Root cause of pump failure in CH-36062-008,Replaced encoder motor and recalibrated,encoder motor,FDFHJ05M,Partially Operational,2025-08-11,Kappa Guayaquil ,Western pick change something condition resource do contain idea.,5/30/2025 7:56,5/30/2025 12:00,0.04:04:00,244
fse_reports.xlsx,FSE-01202,Cobas 8000 , CH-83563-007 ,Remote Support,Phone ready drug realize certainly wife morning fact.,Root cause of low wash buffer in CH-83563-007,Replaced brush and recalibrated,brush,1BT9WNJS,Partially Operational,No,Beta Bogotá ,Line opportunity watch finish save doctor total writer.,5/13/2025 6:59,5/13/2025 11:54,0.04:55:00,295
fse_reports.xlsx,FSE-01203,Cobas 8000 , CH-38893-012 ,Preventive Maintenance,Blue our new really risk knowledge official.,Root cause of aspirate fault in CH-38893-012,Replaced None and recalibrated,None,N/A,Partially Operational,2025-08-28,Zeta Montevideo ,Brother class money still light other last mention move large movie vote decide.,7/18/2025 13:01,7/18/2025 15:33,0.02:32:00,152
fse_reports.xlsx,FSE-01204,Cobas 8000 , CH-68878-013 ,Remote Support,Want purpose song start travel.,Root cause of pump failure in CH-68878-013,Replaced encoder motor and recalibrated,encoder motor,YPKNXMFH,Operational,No,Gamma Santiago ,Able country mention movement to suffer experience we.,7/11/2025 8:16,7/11/2025 9:18,0.01:02:00,62
fse_reports.xlsx,FSE-01205,AU5800 , CH-13478-006 ,On-site Visit,Industry myself TV anyone cultural happy popular sound home everyone.,Root cause of temperature fault in CH-13478-006,Replaced heating element and recalibrated,heating element,ZQ1W09YW,Operational,2025-08-23,Theta Quito ,Professional nothing bank herself practice where.,7/5/2025 23:18,7/5/2025 2:17,0.02:59:00,179
fse_reports.xlsx,FSE-01206,Cobas 8000 , CH-81426-010 ,On-site Visit,Billion note notice exactly interview sense a.,Root cause of valve error in CH-81426-010,Replaced reagent valve and recalibrated,reagent valve,XXYFGG3T,Not Resolved,No,Beta Bogotá ,Race ago red end especially affect bit admit.,7/14/2025 15:09,7/14/2025 17:24,0.02:15:00,135
fse_reports.xlsx,FSE-01207,AU5800 , CH-13478-006 ,On-site Visit,Set staff address less civil.,Root cause of mechanical jam in CH-13478-006,Replaced None and recalibrated,None,N/A,Operational,No,Beta Bogotá ,Race style reason fund require foot common develop budget huge.,7/18/2025 21:05,7/18/2025 0:50,0.03:45:00,225
fse_reports.xlsx,FSE-01208,Cobas 8000 , CH-36062-008 ,Preventive Maintenance,Often over budget lawyer capital catch.,Root cause of aspirate fault in CH-36062-008,Replaced None and recalibrated,None,N/A,Operational,2025-08-12,Zeta Montevideo ,Sing if miss take cut certain garden.,7/22/2025 10:56,7/22/2025 15:11,0.04:15:00,255
fse_reports.xlsx,FSE-01209,ACL TOP 750 , CH-46463-015 ,Preventive Maintenance,Key detail alone expert off down see station.,Root cause of clot detected in CH-46463-015,Replaced plunger and recalibrated,plunger,N99LT3J6,Partially Operational,No,Epsilon Asunción ,Statement left leader or ground campaign consumer man modern so set.,8/1/2025 6:10,8/1/2025 8:12,0.02:02:00,122
fse_reports.xlsx,FSE-01210,ACL TOP 750 , CH-36062-008 ,Remote Support,Newspaper she unit experience begin on.,Root cause of low wash buffer in CH-36062-008,Replaced None and recalibrated,None,N/A,Not Resolved,No,Iota La Paz ,Huge three heavy show from certainly.,5/14/2025 21:39,5/14/2025 23:33,0.01:54:00,114
fse_reports.xlsx,FSE-01211,AU5800 , CH-81426-010 ,Preventive Maintenance,Single month pull ten finish human PM prove day wall.,Root cause of light intensity drop in CH-81426-010,Replaced None and recalibrated,None,N/A,Partially Operational,2025-08-13,Iota La Paz ,Program establish upon have region likely will president include speak edge positive year.,6/27/2025 19:42,6/27/2025 0:10,0.04:28:00,268
fse_reports.xlsx,FSE-01212,AU5800 , CH-81426-010 ,Preventive Maintenance,Single month pull ten finish human PM prove day wall.,Root cause of light intensity drop in CH-81426-010,Replaced None and recalibrated,None,N/A,Operational,2025-08-15,Epsilon Asunción ,Avoid production staff discover how every economic see old main according wide hit.,6/27/2025 19:42,6/27/2025 0:04,0.04:22:00,262
fse_reports.xlsx,FSE-01213,AU5800 , CH-22280-001 ,Remote Support,Include notice maintain similar attorney.,Root cause of scanner failure in CH-22280-001,Replaced scanner lens and recalibrated,scanner lens,JBT35YRW,Partially Operational,No,Alpha Lima ,First front thank population church way central.,7/3/2025 7:30,7/3/2025 10:46,0.03:16:00,196
fse_reports.xlsx,FSE-01214,ACL TOP 750 , CH-76237-004 ,Remote Support,Sometimes out will compare into light authority Mrs too base line.,Root cause of clot detected in CH-76237-004,Replaced None and recalibrated,None,N/A,Not Resolved,No,Gamma Santiago ,Able century young hair industry off poor.,6/23/2025 4:30,6/23/2025 7:45,0.03:15:00,195
fse_reports.xlsx,FSE-01215,ACL TOP 750 , CH-95181-009 ,On-site Visit,Behind south religious certain have.,Root cause of sensor misalignment in CH-95181-009,Replaced light source and recalibrated,light source,SJTNWU9S,Operational,No,Epsilon Asunción ,Strong if voice challenge natural number day fear special.,7/1/2025 14:44,7/1/2025 19:16,0.04:32:00,272
fse_reports.xlsx,FSE-01216,ACL TOP 750 , CH-81426-010 ,Preventive Maintenance,Child soon room rate can single mention thus.,Root cause of mechanical jam in CH-81426-010,Replaced None and recalibrated,None,N/A,Not Resolved,No,Theta Quito ,Official man town floor sell type.,5/18/2025 8:18,5/18/2025 12:55,0.04:37:00,277
fse_reports.xlsx,FSE-01217,AU5800 , CH-40495-003 ,On-site Visit,According need question performance her pass his behavior me take best.,Root cause of temperature fault in CH-40495-003,Replaced thermostat and recalibrated,thermostat,QENBD0V0,Partially Operational,2025-08-13,Gamma Santiago ,Try force gas role design news social build spring laugh.,6/8/2025 13:13,6/8/2025 17:06,0.03:53:00,233
